manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
606,Britannia Industries Ltd.,60001,Britannia Good Day Biscuits,"Britannia Good Day butter cookies, with a rich and buttery taste, perfect with tea or coffee",75 g,Snacks,,,,,,,,,,,,72,2024-02-29
601,Hindustan Unilever Ltd.,10010,Rin Detergent,"Rin detergent powder, brightens clothes and removes tough stains effectively",1 kg,Home Care,,,,,,,,,,,,30,2024-02-29
609,Marico Ltd.,90006,Veggie Clean,"Veggie Clean vegetable wash, removes pesticides and germs from fruits and vegetables",200 ml,Home Care,,,,,,,,,,,,56,2024-02-29
605,Patanjali Ayurved Ltd.,50010,Patanjali Chyawanprash,"Patanjali Chyawanprash, with Ayurvedic herbs for immunity and strength, suitable for all ages",1 kg,Healthcare,,,,,,,,,,,,24,2024-02-29
609,Marico Ltd.,90003,Set Wet Hair Gel,"Set Wet hair gel, for a wet and stylish look with long-lasting hold and shine",100 ml,Personal Care,,,,,,,,,,,,41,2024-02-29
605,Patanjali Ayurved Ltd.,50003,Patanjali Kesh Kanti Shampoo,"Patanjali Kesh Kanti natural hair cleanser, with herbal extracts for healthy and shiny hair",200 ml,Personal Care,,,,,,,,,,,,49,2024-02-29
603,Nestle India Ltd.,30005,Cerelac Baby Cereal,"Cerelac infant cereal stage 1, fortified with iron and essential vitamins for healthy growth",300 g,Baby Care,,,,,,,,,,,,33,2024-02-29
605,Patanjali Ayurved Ltd.,50002,Patanjali Aloe Vera Gel,"Patanjali Aloe Vera gel, natural skin moisturizer and healer for all skin types",150 ml,Personal Care,,,,,,,,,,,,52,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70006,Vivel Soap,"Vivel luxury creme soap, with almond oil and butter for soft and smooth skin",100 g,Personal Care,,,,,,,,,,,,16,2024-02-29
603,Nestle India Ltd.,30007,Milkmaid Condensed Milk,"Milkmaid sweetened condensed milk, makes delicious desserts and sweets",400 g,Food Products,,,,,,,,,,,,4,2024-02-29
604,Dabur India Ltd.,40008,Fem Bleach,"Fem herbal bleach, with natural ingredients that lighten facial hair without harming the skin",30 g,Personal Care,,,,,,,,,,,,33,2024-02-29
610,Godrej Consumer Products Ltd.,100006,Godrej Nupur Henna,"Godrej Nupur henna, with 9 herbs for natural color and care for your hair",400 g,Personal Care,,,,,,,,,,,,13,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20007,Pantene Shampoo,"Pantene hair fall control shampoo, strengthens hair from root to tip and reduces hair fall",340 ml,Personal Care,,,,,,,,,,,,35,2024-02-29
610,Godrej Consumer Products Ltd.,100003,Cinthol Soap,"Cinthol original soap, with refreshing and deodorizing properties, for an active lifestyle",100 g,Personal Care,,,,,,,,,,,,12,2024-02-29
604,Dabur India Ltd.,40002,Dabur Chyawanprash,"Dabur Chyawanprash, enriched with Ayurvedic herbs for immunity and strength",1 kg,Healthcare,,,,,,,,,,,,98,2024-02-29
604,Dabur India Ltd.,40010,Dabur Lal Tail,"Dabur Lal Tail, Ayurvedic massage oil for baby's overall growth and development",500 ml,Baby Care,,,,,,,,,,,,65,2024-02-29
610,Godrej Consumer Products Ltd.,100007,Ezee Liquid Detergent,"Ezee liquid detergent, for gentle and effective washing of delicate fabrics",1 L,Home Care,,,,,,,,,,,,29,2024-02-29
604,Dabur India Ltd.,40009,Odopic Dishwashing Liquid,"Dabur Odopic dishwashing liquid, cuts through grease and leaves dishes sparkling clean",500 ml,Home Care,,,,,,,,,,,,27,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20003,Head & Shoulders Shampoo,"Head & Shoulders anti-dandruff shampoo, with menthol for a cooling sensation and healthy scalp",375 ml,Personal Care,,,,,,,,,,,,29,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20005,Gillette Razor,"Gillette Mach3 razor, with 3 blades for a close and comfortable shave",1 count,Personal Care,,,,,,,,,,,,11,2024-02-29
608,ITC Ltd.,80009,Dermafique Face Serum,"Dermafique serum, with advanced skincare technology for youthful and radiant skin",30 ml,Personal Care,,,,,,,,,,,,5,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70008,Colgate Mouthwash,"Colgate Plax mouthwash, with antibacterial properties for long-lasting fresh breath",250 ml,Personal Care,,,,,,,,,,,,77,2024-02-29
605,Patanjali Ayurved Ltd.,50006,Patanjali Amla Juice,"Patanjali Amla juice, rich in Vitamin C and antioxidants for overall health and immunity",1 L,Beverages,,,,,,,,,,,,4,2024-02-29
606,Britannia Industries Ltd.,60009,Britannia Milk,"Britannia toned milk, enriched with essential nutrients for a healthy lifestyle",1 L,Beverages,,,,,,,,,,,,80,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20006,Olay Moisturizer,"Olay total effects 7-in-1 anti-ageing moisturizer, fights the 7 signs of ageing for younger-looking skin",50 g,Personal Care,,,,,,,,,,,,75,2024-02-29
606,Britannia Industries Ltd.,60006,Britannia Milk Bikis Biscuits,"Britannia Milk Bikis biscuits, enriched with the goodness of milk, a favorite among kids",100 g,Snacks,,,,,,,,,,,,64,2024-02-29
605,Patanjali Ayurved Ltd.,50004,Patanjali Honey,"Patanjali honey, pure and natural honey sourced from Himalayan forests",500 g,Food Products,,,,,,,,,,,,74,2024-02-29
610,Godrej Consumer Products Ltd.,100005,Godrej Aer Air Freshener,"Godrej Aer click air freshener, with a fragrance that lasts up to 60 days",10 g,Home Care,,,,,,,,,,,,17,2024-02-29
603,Nestle India Ltd.,30003,Nescafe Coffee,"Nescafe classic coffee, made from medium-dark roasted coffee beans for a rich aroma and smooth taste",50 g,Beverages,,,,,,,,,,,,38,2024-02-29
606,Britannia Industries Ltd.,60005,Britannia Rusk,"Britannia rusk, crunchy and delicious, perfect for dipping in tea or coffee",273 g,Snacks,,,,,,,,,,,,53,2024-02-29
601,Hindustan Unilever Ltd.,10003,Knorr Soup,Knorr classic thick tomato soup with a delightful taste of tomatoes and real vegetables,53 g,Food Products,,,,,,,,,,,,37,2024-02-29
