retailer_code,retailer_name,retailer_category,retailer_city,retailer_address
2001,SuperMart,Supermarket,Mumbai,"1 Main Street, Mumbai"
2002,GroceryHub,Grocery Store,Mumbai,"5 Downtown Avenue, Mumbai"
2003,FreshMart,Fruit and Vegetable Store,Mumbai,"10 Sunshine Plaza, Mumbai"
2004,HealthZone,Pharmacy,Mumbai,"15 Green Road, Mumbai"
2005,CosmoMart,Cosmetics Store,Mumbai,"20 Starlight Lane, Mumbai"
2006,FashionFiesta,Apparel Store,Mumbai,"25 Fashion Street, Mumbai"
2007,ElectroMart,Electronics Store,Mumbai,"30 Tech Park, Mumbai"
2008,Home Essentials,Home Improvement Store,Mumbai,"35 Builder's Block, Mumbai"
2009,BookLand,Bookstore,Mumbai,"40 Bookworm Street, Mumbai"
2010,PetPalace,Pet Store,Mumbai,"45 Pet Haven, Mumbai"
3001,MarketFresh,Supermarket,New Delhi,"1 Central Market, New Delhi"
3002,GreenGrocers,Grocery Store,New Delhi,"5 Fresh Avenue, New Delhi"
3003,OrganicHeaven,Organic Store,New Delhi,"10 Healthy Plaza, New Delhi"
3004,MediCare,Pharmacy,New Delhi,"15 Health Lane, New Delhi"
3005,BeautyBliss,Beauty Store,New Delhi,"20 Glamour Road, New Delhi"
3006,StyleSquare,Apparel Store,New Delhi,"25 Fashion Haven, New Delhi"
3007,TechZone,Electronics Store,New Delhi,"30 Gadget Park, New Delhi"
3008,HomeSolutions,Home Furnishing Store,New Delhi,"35 Comfort Block, New Delhi"
3009,BookWorld,Bookstore,New Delhi,"40 Bookworm Corner, New Delhi"
3010,PetPaws,Pet Store,New Delhi,"45 Pet Paradise, New Delhi"
4001,FarmFresh,Supermarket,Kolkata,"1 Market Square, Kolkata"
4002,FreshMart,Grocery Store,Kolkata,"5 Farm Lane, Kolkata"
4003,Nature'sBest,Organic Store,Kolkata,"10 Green Plaza, Kolkata"
4004,MediHelp,Pharmacy,Kolkata,"15 Care Lane, Kolkata"
4005,BeautyBox,Beauty Store,Kolkata,"20 Beauty Boulevard, Kolkata"
4006,FashionVogue,Apparel Store,Kolkata,"25 Fashion Boulevard, Kolkata"
4007,GizmoGalaxy,Electronics Store,Kolkata,"30 Tech City, Kolkata"
4008,HomeGarden,Home Decor Store,Kolkata,"35 Garden Block, Kolkata"
4009,BookNest,Bookstore,Kolkata,"40 Bookworm Lane, Kolkata"
4010,PetPlanet,Pet Store,Kolkata,"45 Pet Haven, Kolkata"
5001,GreenGroove,Supermarket,Chennai,"1 Garden Square, Chennai"
5002,MarketFresh,Grocery Store,Chennai,"5 Fresh Street, Chennai"
5003,OrganicBliss,Organic Store,Chennai,"10 Eco Plaza, Chennai"
5004,MediCare,Pharmacy,Chennai,"15 Health Hub, Chennai"
5005,BeautySpot,Beauty Store,Chennai,"20 Beauty Lane, Chennai"
5006,StyleVista,Apparel Store,Chennai,"25 Fashion Square, Chennai"
5007,GadgetZone,Electronics Store,Chennai,"30 Tech Haven, Chennai"
5008,HomeStyle,Home Furnishing Store,Chennai,"35 Comfort Lane, Chennai"
5009,BookHaven,Bookstore,Chennai,"40 Bookworm Avenue, Chennai"
5010,PetWorld,Pet Store,Chennai,"45 Pet Paradise, Chennai"
6001,FreshMart,Supermarket,Bangalore,"1 Fresh Market, Bangalore"
6002,GroceryGalaxy,Grocery Store,Bangalore,"5 Organic Avenue, Bangalore"
6003,OrganicOasis,Organic Store,Bangalore,"10 Green Plaza, Bangalore"
6004,MediWell,Pharmacy,Bangalore,"15 Health Road, Bangalore"
6005,BeautyBoutique,Beauty Store,Bangalore,"20 Glamour Lane, Bangalore"
6006,FashionFiesta,Apparel Store,Bangalore,"25 Fashion Street, Bangalore"
6007,TechSquare,Electronics Store,Bangalore,"30 Tech Hub, Bangalore"
6008,HomeEssentials,Home Improvement Store,Bangalore,"35 Home Block, Bangalore"
6009,BookShelf,Bookstore,Bangalore,"40 Bookworm Road, Bangalore"
6010,PetParadise,Pet Store,Bangalore,"45 Pet Haven, Bangalore"
7001,GardenFresh,Supermarket,Hyderabad,"1 Garden Street, Hyderabad"
7002,GreenGrocers,Grocery Store,Hyderabad,"5 Farm Avenue, Hyderabad"
7003,OrganicHarvest,Organic Store,Hyderabad,"10 Eco Plaza, Hyderabad"
7004,MediCare,Pharmacy,Hyderabad,"15 Health Lane, Hyderabad"
7005,BeautyBoutique,Beauty Store,Hyderabad,"20 Glamour Road, Hyderabad"
7006,FashionHub,Apparel Store,Hyderabad,"25 Fashion Haven, Hyderabad"
7007,GadgetGalaxy,Electronics Store,Hyderabad,"30 Tech City, Hyderabad"
7008,HomeDecor,Home Decor Store,Hyderabad,"35 Decor Block, Hyderabad"
7009,BookWorm,Bookstore,Hyderabad,"40 Bookworm Lane, Hyderabad"
7010,PetCare,Pet Store,Hyderabad,"45 Pet Paradise, Hyderabad"
8001,FreshMart,Supermarket,Pune,"1 Fresh Market, Pune"
8002,GroceryHub,Grocery Store,Pune,"5 Organic Avenue, Pune"
8003,OrganicNest,Organic Store,Pune,"10 Green Plaza, Pune"
8004,MediCare,Pharmacy,Pune,"15 Health Road, Pune"
8005,BeautyBoutique,Beauty Store,Pune,"20 Glamour Lane, Pune"
8006,FashionVista,Apparel Store,Pune,"25 Fashion Street, Pune"
8007,TechCity,Electronics Store,Pune,"30 Tech Hub, Pune"
8008,HomeTrends,Home Improvement Store,Pune,"35 Home Block, Pune"
8009,BookCorner,Bookstore,Pune,"40 Bookworm Road, Pune"
8010,PetWorld,Pet Store,Pune,"45 Pet Haven, Pune"
