distributor_code,dist_address,dc_code,dc_name,dc_address,city_name
1001,"123 Main Street, Mumbai","IN001","Mumbai Distribution Center","Mumbai, Maharashtra","Mumbai"
1002,"456 Park Avenue, Delhi","IN002","Delhi Distribution Center","New Delhi, Delhi","Delhi"
1003,"789 Beach Road, Kolkata","IN003","Kolkata Distribution Center","Kolkata, West Bengal","Kolkata"
1004,"101 Lake View, Chennai","IN004","Chennai Distribution Center","Chennai, Tamil Nadu","Chennai"
1005,"202 Forest Lane, Bangalore","IN005","Bangalore Distribution Center","Bangalore, Karnataka","Bangalore"
1006,"303 Hilltop Plaza, Hyderabad","IN006","Hyderabad Distribution Center","Hyderabad, Telangana","Hyderabad"
1007,"404 Skyline Towers, Pune","IN007","Pune Distribution Center","Pune, Maharashtra","Pune"
1008,"505 Green Valley, Ahmedabad","IN008","Ahmedabad Distribution Center","Ahmedabad, Gujarat","Ahmedabad"
1009,"606 River View, Jaipur","IN009","Jaipur Distribution Center","Jaipur, Rajasthan","Jaipur"
1010,"707 Sunflower Lane, Lucknow","IN010","Lucknow Distribution Center","Lucknow, Uttar Pradesh","Lucknow"
1011,"808 Mountain View, Chandigarh","IN011","Chandigarh Distribution Center","Chandigarh, Punjab","Chandigarh"
1012,"909 Valley Road, Bhopal","IN012","Bhopal Distribution Center","Bhopal, Madhya Pradesh","Bhopal"
1013,"1010 Sunrise Avenue, Indore","IN013","Indore Distribution Center","Indore, Madhya Pradesh","Indore"
1014,"1111 Sunset Boulevard, Guwahati","IN014","Guwahati Distribution Center","Guwahati, Assam","Guwahati"
1015,"1212 Moonlight Lane, Coimbatore","IN015","Coimbatore Distribution Center","Coimbatore, Tamil Nadu","Coimbatore"
1016,"1313 Starry Sky Plaza, Nagpur","IN016","Nagpur Distribution Center","Nagpur, Maharashtra","Nagpur"
1017,"1414 Ocean View, Visakhapatnam","IN017","Visakhapatnam Distribution Center","Visakhapatnam, Andhra Pradesh","Visakhapatnam"
1018,"1515 Forest Road, Raipur","IN018","Raipur Distribution Center","Raipur, Chhattisgarh","Raipur"
1019,"1616 Desert View, Jodhpur","IN019","Jodhpur Distribution Center","Jodhpur, Rajasthan","Jodhpur"
1020,"1717 Riverbank Lane, Surat","IN020","Surat Distribution Center","Surat, Gujarat","Surat"
1021,"1818 Seaside Boulevard, Kochi","IN021","Kochi Distribution Center","Kochi, Kerala","Kochi"
1022,"1919 Mountain Heights, Vadodara","IN022","Vadodara Distribution Center","Vadodara, Gujarat","Vadodara"
1023,"2020 Sunrise Avenue, Guwahati","IN023","Guwahati Distribution Center","Guwahati, Assam","Guwahati"
1024,"2121 Sunset Boulevard, Thiruvananthapuram","IN024","Thiruvananthapuram Distribution Center","Thiruvananthapuram, Kerala","Thiruvananthapuram"
1025,"2222 Moonlight Lane, Patna","IN025","Patna Distribution Center","Patna, Bihar","Patna"
1026,"2323 Starry Sky Plaza, Gurgaon","IN026","Gurgaon Distribution Center","Gurgaon, Haryana","Gurgaon"
1027,"2424 Ocean View, Dehradun","IN027","Dehradun Distribution Center","Dehradun, Uttarakhand","Dehradun"
1028,"2525 Forest Road, Amritsar","IN028","Amritsar Distribution Center","Amritsar, Punjab","Amritsar"
1029,"2626 Desert View, Ranchi","IN029","Ranchi Distribution Center","Ranchi, Jharkhand","Ranchi"
1030,"2727 Riverbank Lane, Aurangabad","IN030","Aurangabad Distribution Center","Aurangabad, Maharashtra","Aurangabad"

