manufacturer_code,item_muc,item_name,item_description,item_pack_size,item_category
601,10001,Dove Soap,"Dove beauty bar gently cleanses and moisturizes your skin, leaving it soft and smooth",100 g,Personal Care
601,10002,Surf Excel Detergent,"Surf Excel Matic front load detergent powder ensures stain removal, bright clothes, and long-lasting fragrance",1 kg,Home Care
601,10003,Knorr Soup,Knorr classic thick tomato soup with a delightful taste of tomatoes and real vegetables,53 g,Food Products
601,10004,Lipton Green Tea,"Lipton pure and light green tea leaves, for a refreshing and healthy drink",100 g,Beverages
601,10005,Pears Soap,Pears pure and gentle soap with natural oils and glycerin for soft and moisturized skin,125 g,Personal Care
601,10006,Tresemme Shampoo,"Tresemme keratin smooth shampoo with argan oil, helps control frizz and makes hair smooth and shiny",185 ml,Personal Care
601,10007,Kissan Ketchup,"Kissan fresh tomato ketchup, made from sun-ripened tomatoes for a tangy taste",500 g,Food Products
601,10008,Closeup Toothpaste,"Closeup deep action toothpaste, with active zinc mouthwash for long-lasting fresh breath and strong teeth",150 g,Personal Care
601,10009,Bru Instant Coffee,"Bru instant coffee, made from a fine blend of coffee and chicory for a perfect cup every time",100 g,Beverages
601,10010,Rin Detergent,"Rin detergent powder, brightens clothes and removes tough stains effectively",1 kg,Home Care
602,20001,Pampers Diapers,"Pampers baby dry diapers, with magic gel that locks wetness away for up to 12 hours of dryness",Medium,Baby Care
602,20002,Ariel Detergent,"Ariel Matic front load detergent powder, removes tough stains and keeps clothes bright",1 kg,Home Care
602,20003,Head & Shoulders Shampoo,"Head & Shoulders anti-dandruff shampoo, with menthol for a cooling sensation and healthy scalp",375 ml,Personal Care
602,20004,Whisper Sanitary Pads,"Whisper ultra soft sanitary pads, with 1000 suction holes for clean, dry protection",Regular,Feminine Hygiene
602,20005,Gillette Razor,"Gillette Mach3 razor, with 3 blades for a close and comfortable shave",1 count,Personal Care
602,20006,Olay Moisturizer,"Olay total effects 7-in-1 anti-ageing moisturizer, fights the 7 signs of ageing for younger-looking skin",50 g,Personal Care
602,20007,Pantene Shampoo,"Pantene hair fall control shampoo, strengthens hair from root to tip and reduces hair fall",340 ml,Personal Care
602,20008,Vicks Vaporub,"Vicks vaporub, provides relief from cold symptoms like cough and congestion",50 g,Healthcare
602,20009,Oral-B Toothbrush,"Oral-B cross action toothbrush, with angled bristles to reach deep between teeth",1 count,Personal Care
602,20010,Old Spice Deodorant,"Old Spice original deodorant spray, with a fresh and masculine fragrance",150 ml,Personal Care
603,30001,Maggi Noodles,"Maggi instant noodles, ready in just 2 minutes, with a delicious taste of spices and vegetables",70 g,Food Products
603,30002,KitKat Chocolate,"KitKat chocolate bar, with crispy wafer fingers coated in delicious milk chocolate",37 g,Snacks
603,30003,Nescafe Coffee,"Nescafe classic coffee, made from medium-dark roasted coffee beans for a rich aroma and smooth taste",50 g,Beverages
603,30004,Everyday Dairy Whitener,"Everyday dairy whitener, adds a rich and creamy taste to your tea and coffee",200 g,Beverages
603,30005,Cerelac Baby Cereal,"Cerelac infant cereal stage 1, fortified with iron and essential vitamins for healthy growth",300 g,Baby Care
603,30006,Munch Chocolate,"Nestle Munch chocolate bar, with crunchy caramel and rich chocolate, a perfect snack",32 g,Snacks
603,30007,Milkmaid Condensed Milk,"Milkmaid sweetened condensed milk, makes delicious desserts and sweets",400 g,Food Products
603,30008,Maggi Ketchup,"Maggi hot and sweet tomato ketchup, adds a tangy twist to your snacks and meals",500 g,Food Products
603,30009,Milkybar Chocolate,"Milkybar white chocolate, made with milk and creamy cocoa butter for a smooth texture and milky taste",50 g,Snacks
603,30010,Bar-One Chocolate,"Nestle Bar-One chocolate bar, with crunchy wafer and rich chocolate for an energy boost",19 g,Snacks
604,40001,Dabur Honey,"Dabur honey, 100% pure and natural honey for daily health and nutrition",500 g,Food Products
604,40002,Dabur Chyawanprash,"Dabur Chyawanprash, enriched with Ayurvedic herbs for immunity and strength",1 kg,Healthcare
604,40003,Dabur Amla Hair Oil,"Dabur Amla hair oil, with the goodness of amla for strong, healthy hair",200 ml,Personal Care
604,40004,Dabur Red Toothpaste,"Dabur Red toothpaste, with natural ingredients for strong teeth and fresh breath",200 g,Personal Care
604,40005,Dabur Gulabari Rose Water,"Dabur Gulabari rose water, natural skin toner that cleanses and refreshes your skin",250 ml,Personal Care
604,40006,Real Fruit Juice,"Real mixed fruit juice, made with real fruits and no added preservatives or colors",1 L,Beverages
604,40007,Hajmola Digestive Tablets,"Dabur Hajmola digestive tablets, a tasty way to aid digestion and relieve acidity",120 count,Healthcare
604,40008,Fem Bleach,"Fem herbal bleach, with natural ingredients that lighten facial hair without harming the skin",30 g,Personal Care
604,40009,Odopic Dishwashing Liquid,"Dabur Odopic dishwashing liquid, cuts through grease and leaves dishes sparkling clean",500 ml,Home Care
604,40010,Dabur Lal Tail,"Dabur Lal Tail, Ayurvedic massage oil for baby's overall growth and development",500 ml,Baby Care
605,50001,Patanjali Dant Kanti Toothpaste,"Patanjali Dant Kanti toothpaste, herbal formulation for strong gums and teeth",200 g,Personal Care
605,50002,Patanjali Aloe Vera Gel,"Patanjali Aloe Vera gel, natural skin moisturizer and healer for all skin types",150 ml,Personal Care
605,50003,Patanjali Kesh Kanti Shampoo,"Patanjali Kesh Kanti natural hair cleanser, with herbal extracts for healthy and shiny hair",200 ml,Personal Care
605,50004,Patanjali Honey,"Patanjali honey, pure and natural honey sourced from Himalayan forests",500 g,Food Products
605,50005,Patanjali Badam Pak,"Patanjali Badam Pak, nutritious supplement with almonds for strength and energy",500 g,Healthcare
605,50006,Patanjali Amla Juice,"Patanjali Amla juice, rich in Vitamin C and antioxidants for overall health and immunity",1 L,Beverages
605,50007,Patanjali Multani Mitti Soap,"Patanjali Multani Mitti body cleanser, with natural clay for deep cleansing and exfoliation",75 g,Personal Care
605,50008,Patanjali Detergent Powder,"Patanjali detergent powder, herbal formulation that cleans clothes effectively and gently",1 kg,Home Care
605,50009,Patanjali Oats,"Patanjali oats, nutritious and healthy option for breakfast, rich in fiber and essential nutrients",500 g,Food Products
605,50010,Patanjali Chyawanprash,"Patanjali Chyawanprash, with Ayurvedic herbs for immunity and strength, suitable for all ages",1 kg,Healthcare
606,60001,Britannia Good Day Biscuits,"Britannia Good Day butter cookies, with a rich and buttery taste, perfect with tea or coffee",75 g,Snacks
606,60002,Britannia Marie Gold Biscuits,"Britannia Marie Gold biscuits, light and crunchy biscuits, a perfect tea-time snack",120 g,Snacks
